파일명,파일명 재정리,시청각기록물 등록번호,제목,유형,MIME 유형,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(1차),주제어(2차),위도/경도
5-고정남-원인재역-2018-0113-30.jpg,M-A321131.jpg,M-A321131,원인재역,사진류,image/jpeg,3543x2365,,2018-01-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
6-고정남-신포역-2018-0508-30.jpg,M-A321132.jpg,M-A321132,신포역,사진류,image/jpeg,2365x3543,,2018-05-08,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
7-고정남-신포역-2018-0513-30.jpg,M-A321133.jpg,M-A321133,신포역,사진류,image/jpeg,2365x3543,,2018-05-13,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
8-고정남-송도역-2018-0602-30.jpg,M-A321134.jpg,M-A321134,송도역,사진류,image/jpeg,2365x3543,,2018-06-02,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
9-고정남-원인재역-2018-0616-30.jpg,M-A321135.jpg,M-A321135,원인재역,사진류,image/jpeg,2365x3543,,2018-06-16,고정남,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,수인선,풍경,
김윤섭 01_광명 풀씨학교0417_경기도의아이들3367.JPG,M-A321136.jpg,M-A321136,풀씨학교,사진류,image/jpeg,5849x3899,,2018:04:17 14:23:46,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 02_광명 볍씨학교0419_경기도의아이들_ KYS_3668.JPG,M-A321137.jpg,M-A321137,볍씨학교,사진류,image/jpeg,5673x3782,,2018:04:19 09:56:00,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 03_수원 달팽이어린이집0427_경기도의아이들_ KYS_5235.JPG,M-A321138.jpg,M-A321138,달팽이어린이집,사진류,image/jpeg,5643x3762,,2018:04:27 11:15:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 04_수원 달팽이어린이집0427_경기도의아이들_ KYS_5501.JPG,M-A321139.jpg,M-A321139,달팽이어린이집,사진류,image/jpeg,5928x3952,,2018:04:27 11:48:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 05_광명 볍씨학교0419_경기도의아이들4069.JPG,M-A321140.jpg,M-A321140,볍씨학교,사진류,image/jpeg,5817x3878,,2018:04:19 12:06:48,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 06_시흥 승지초등학교0412_경기도의아이들2417.JPG,M-A321141.jpg,M-A321141,승지초등학교,사진류,image/jpeg,5895x3930,,2018:04:12 10:40:31,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 07_시흥 승지초등학교0410_경기도의아이들1639.JPG,M-A321142.jpg,M-A321142,승지초등학교,사진류,image/jpeg,5838x3892,,2018:04:10 12:35:59,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 08_광명 풀씨학교0508_경기도의아이들6827.JPG,M-A321143.jpg,M-A321143,풀씨학교,사진류,image/jpeg,5511x3674,,2018:05:08 11:32:13,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 09_광명 볍씨학교0419_경기도의아이들3614.JPG,M-A321144.jpg,M-A321144,볍씨학교,사진류,image/jpeg,5700x3800,,2018:04:19 09:39:49,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 10_광명 풀씨학교0508_경기도의아이들7481.JPG,M-A321145.jpg,M-A321145,풀씨학교,사진류,image/jpeg,5043x3362,,2018:05:08 16:16:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 11_광명 볍씨학교0419_경기도의아이들3659.JPG,M-A321146.jpg,M-A321146,볍씨학교,사진류,image/jpeg,5907x3938,,2018:04:19 09:53:07,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
김윤섭 12_광명 볍씨학교0417_경기도의아이들3519.JPG,M-A321147.jpg,M-A321147,볍씨학교,사진류,image/jpeg,5958x3972,,2018:04:17 15:29:31,김윤섭,2018-08-07,최연하,2018-08-23,김현미,경기천년 기록 아카이브,경기기록,8인의 작가,아이들,인물,
