파일명,파일명 재정리,시청각기록물 등록번호,생산(수집) 등록번호,제목,유형,MIME 유형,File 유형,File 사이즈,Image 사이즈,재생시간,생산일,생산자,제공일,제공자,수집일,수집자,주제어(사업명),주제어(약어),주제어(단위과제),주제어(과업),주제어(주제),주제어(피사체유형),주제어(계절),주제어(지역),위도/경도,MD5 Checksum
구리시_20180417_만해한용운묘소_백형실_46.jpg,A320171M320075.jpg,M-A320075,1431052-A320171,만해한용운묘소 ,사진류,image/jpeg,jpg,8.1 MB,2998x2000,,2018-04-17,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,fc5862063c3d307ae6802c81ecbbf76e
구리시_20180417_아차산효빈묘_백형실_58.jpg,A320172M320076.jpg,M-A320076,1431052-A320172,아차산효빈묘 ,사진류,image/jpeg,jpg,11 MB,3739x2000,,2018-04-17,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,a5290ac9dc0582be3ae99e954013bdba
구리시_20180428_아차산3보루_백형실_48.jpg,A320173M320077.jpg,M-A320077,1431052-A320173,아차산3보루 ,사진류,image/jpeg,jpg,4.2 MB,2998x2000,,2018-04-28,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,e7d9667368c0a58bf705998626daf6df
구리시_20180505_유채꽃축제_백형실_52.jpg,A320174M320078.jpg,M-A320078,1431052-A320174,유채꽃축제 ,사진류,image/jpeg,jpg,3.4 MB,2998x2000,,2018-05-05,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,d62ca7d1d7992301e395c47d077e9589
구리시_20180505_유채꽃축제_백형실_53.jpg,A320175M320079.jpg,M-A320079,1431052-A320175,유채꽃축제 ,사진류,image/jpeg,jpg,3.2 MB,2998x2000,,2018-05-05,백형실,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,봄,구리시,37.599279/127.130698,3285aef45e040236a6d36ec9ad059ab4
고양_20171231_행주산성아래 한강변에서 본 통일염원 바람개비_황영주_41.jpg,A320176M320080.jpg,M-A320080,1431052-A320176,행주산성아래 한강변에서 본 통일염원 바람개비,사진류,image/jpeg,jpg,3.9 MB,3000x2000,,2017-12-31,황영주,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,고양시,37.665040/126.835863,b9e55ba939eb0e4cc194db479ca4bb4e
고양_20171231_행주산성아래서 본 한강변_황영주_42.jpg,A320177M320081.jpg,M-A320081,1431052-A320177,행주산성아래서 본 한강변,사진류,image/jpeg,jpg,3.6 MB,2999x2000,,2017-12-31,황영주,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,고양시,37.665040/126.835863,adbf02ad207d179ee764ba8ab32952e6
고양_20180114_구시가지 산황동 철도건널목_황영주_52.jpg,A320178M320082.jpg,M-A320082,1431052-A320178,구시가지 산황동 철도건널목,사진류,image/jpeg,jpg,4.3 MB,3000x2000,,2018-01-14,황영주,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,고양시,37.665040/126.835863,55fc0e933564bbdf031a217946ca2653
고양_20180114_덕양구 도내동에 있는 구석기 유적 발굴지_황영주_53.jpg,A320179M320083.jpg,M-A320083,1431052-A320179,덕양구 도내동에 있는 구석기 유적 발굴지,사진류,image/jpeg,jpg,4.4 MB,3000x2000,,2018-01-14,황영주,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,고양시,37.665040/126.835863,e3ecb467844f57ef62a35c4bc3b40874
고양_20180114_서오릉 명릉 정자각과 릉_황영주_54.jpg,A320180M320084.jpg,M-A320084,1431052-A320180,서오릉 명릉 정자각과 릉,사진류,image/jpeg,jpg,5.4 MB,3000x2000,,2018-01-14,황영주,2018-08-07,최연하,2018-08-22,이상민,경기천년 기록 아카이브,경기기록,경기도의 현재 기록하기,31개 시군,경기도,풍경,겨울,고양시,37.665040/126.835863,49f94536869afb66315262773e336076
