파일명	파일명 재정리	시청각기록물 등록번호	제목	유형	MIME 유형	Image 사이즈	재생시간	생산일	생산자	제공일	제공자	수집일	수집자	주제어(사업명)	주제어(약어)	주제어(단위과제)	주제어(1차)	주제어(2차)	위도/경도
신병문-경기도 부천시_180616_060934_00002.jpg	M-A321279.jpg	M-A321279	경기도 부천시	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 부천시 20160229_.jpg	M-A321278.jpg	M-A321278	경기도 부천시 	사진류	image/jpeg	7119x4751		2016-02-29	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구_180616_064234_00009.jpg	M-A321286.jpg	M-A321286	경기도 성남시 분당구	사진류	image/jpeg	4912x7360		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구 구미동_180616_063748_00003.jpg	M-A321280.jpg	M-A321280	경기도 성남시 분당구 구미동	사진류	image/jpeg	7283x4861		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구 수내동_180616_064427_00004.jpg	M-A321281.jpg	M-A321281	경기도 성남시 분당구 수내동	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구 판교_180616_064207_00005.jpg	M-A321282.jpg	M-A321282	경기도 성남시 분당구 판교	사진류	image/jpeg	7283x4861		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구 판교동_180616_064240_00006.jpg	M-A321283.jpg	M-A321283	경기도 성남시 분당구 판교동	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구 판교동_180616_064256_00007.jpg	M-A321284.jpg	M-A321284	경기도 성남시 분당구 판교동	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 분당구 판교동_180616_064324_00008.jpg	M-A321285.jpg	M-A321285	경기도 성남시 분당구 판교동	사진류	image/jpeg	7209x4811		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 성남시 판교테크노파크_180616_064832_00010 (1).jpg	M-A321287.jpg	M-A321287	경기도 성남시 판교테크노파크	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 _180616_063452_00011.jpg	M-A321292.jpg	M-A321292	경기도 수원시 	사진류	image/jpeg	7173x4787		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 (구)서울농대 농촌진흥청_180616_062441_00012.jpg	M-A321288.jpg	M-A321288	경기도 수원시 (구)서울농대 농촌진흥청	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 (구)서울농대 농촌진흥청_180616_062452_00013.jpg	M-A321289.jpg	M-A321289	경기도 수원시 (구)서울농대 농촌진흥청	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 (구)서울농대 농촌진흥청_180616_062501_00014.jpg	M-A321290.jpg	M-A321290	경기도 수원시 (구)서울농대 농촌진흥청	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 (구)서울농대 농촌진흥청_180616_062516_00015.jpg	M-A321291.jpg	M-A321291	경기도 수원시 (구)서울농대 농촌진흥청	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 팔달산 도청 _180616_062552_00016.jpg	M-A321293.jpg	M-A321293	경기도 수원시 팔달산 도청 	사진류	image/jpeg	7321x4885		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 화성_180616_062751_00017.jpg	M-A321294.jpg	M-A321294	경기도 수원시 화성	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 화성_180616_062925_00018.jpg	M-A321295.jpg	M-A321295	경기도 수원시 화성	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 화성_180616_063011_00019.jpg	M-A321296.jpg	M-A321296	경기도 수원시 화성	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
신병문-경기도 수원시 화성_180616_063016_00020.jpg	M-A321297.jpg	M-A321297	경기도 수원시 화성	사진류	image/jpeg	7360x4912		2018-06-16	신병문	2018-08-07	최연하	2018-08-23	김현미	경기천년 기록 아카이브	경기기록	8인의 작가	하늘에서 본 경기	풍경	
